game_link,name,price,developer,genres,features,publisher,date release,initial release on platform ,recommended_os,cpu,memory,gpu,available achievements,available xp,Critics Recommend,Top Critic Average,OpenCritic Rating
"HITMAN - Game of the Year Edition₹3,249",HITMAN - Game of the Year Edition,"₹3,249",IO Interactive A/S,ActionAction-AdventureShooterStealth,Single Player,IO Interactive A/S,09/03/20,Initial Release09/03/20,OS 64-bit Windows 7 / 64-bit Windows 8 (8.1) or Windows 10,"Intel CPU Core i7 3770 3,4 GHz / AMD CPU AMD FX-8350 4 GHz",8,Nvidia GPU GeForce GTX 770 / AMD GPU Radeon R9 290,,,92%,84,Mighty
"The Medium₹2,949",The Medium,"₹2,949",Bloober Team,HorrorAdventure,Single Player,Bloober Team S.A.,01/28/21,WindowsWindows,Windows 10 (64bit version only),Intel® Core™ i5-9600 / AMD Ryzen™ 7 3700X,16,30,,,63%,75,Strong
"HITMAN 3₹1,889",HITMAN 3,"₹1,889",IO Interactive A/S,ActionStealth,AchievementsController SupportSingle Player,IO Interactive A/S,08/27/20,Initial Release01/20/21,OS 64-bit Windows 10,Intel CPU Core i7 4790 4 GHz,16,80,null,null,92%,86,Mighty
Into the Breach₹446,Into The Breach,₹446,Subset Games,Turn-BasedRogue-LiteStrategy,Single Player,Subset Games,02/27/18,WindowsWindowsMac OSMac OS,Windows 7+,1.7 GHz,1 GB,250 MB,,,90%,88,Mighty
The Lion's Song₹189,The Lion's Song,₹189,Mi'pu'mi Games,NarrationAdventure,Single Player,Mi'pu'mi Games,05/13/21,WindowsWindowsMac OSMac OS,Windows 7 / 8 / 10,2 GHZ,1 GB RAM,500 MB available space,,,80%,81,Strong
Costume Quest₹297,Costume Quest,₹297,Double Fine Productions,RPGAdventure,Single Player,Double Fine Productions,10/19/10,WindowsWindows,Windows 7 or higher,2.2 GHz dual core CPU,1 GB RAM,"256 MB GeForce 220, Radeon 4550, Intel HD 3000 Graphics",,,null,null,null
Sunless Sea₹449,Sunless Sea,₹449,Failbetter Games,RPGAdventureIndie,null,Failbetter Games,02/25/21,WindowsWindowsMac OSMac OS,Windows 10,2Ghz or better,1 GB RAM,700 MB available space,,,81%,81,Strong
Among Us₹119,Among Us,₹119,Innersloth,Casual,Co-opMultiplayer,Innersloth,12/18/20,Initial Release06/15/18,Windows 7 SP1+,SSE2 instruction set support,1 GB RAM,250 MB available space,null,null,77%,80,Strong
2064: Read Only Memories₹469,2064: Read Only Memories,₹469,"MidBoss, LLC",Adventure,Single Player,"MidBoss, LLC",09/28/21,Initial Release08/18/15,Windows 7,2.0 GHz with SSE2 instruction support,1 GB RAM,1000 MB available space,,,63%,77,Strong
Kraken Academy₹499,Kraken Academy,₹499,Happy Broccoli Games,ComedyAdventureIndie,Single Player,Fellow Traveller,09/03/21,Initial Release09/10/21,Windows 7,64-bit processor,1 GB RAM,400 MB available space,,,null,null,null
Assassin's Creed II Standard Edition₹499,Assassin's Creed II,₹499,Ubisoft,Action-Adventure,Single Player,Ubisoft,10/06/20,Initial Release11/11/14,Windows® XP (32-64 bits) /Windows Vista®(32-64 bits)/Windows 7® (32-64 bits),Intel Core® 2 Duo E6700 2.6 GHz or AMD Athlon 64 X2 6000+ or better,1.5 GB Windows® XP / 2 GB Windows Vista® - Windows 7®,GeForce 8800 GT or ATI Radeon HD 4700 or better,,,null,null,null
"Ghost Recon Future Solider: Ultimate Edition₹1,499",Ghost Recon Future Solider: Ultimate Edition,"₹1,499",Ubisoft Paris,Action,null,Ubisoft,07/28/20,WindowsWindows,"Windows Vista® (with Service Pack 2)/ Windows 7® (with Service pack 1), both 32 bit & 64 bit versions.",Intel Core2 Quad Q9450/ AMD Phenom II X4 940 or higher,"1024 MB DirectX–compliant, Shader 4.0–enabled video card based on nVidia GeForce GTX 460 or AMD/ATi HD 5850 or better.",3 GB Windows Vista® & 7®,,,null,null,null
20XX₹477,20XX,₹477,Batterystaple,Rogue-Liteer,Co-op,Batterystaple,07/30/20,WindowsWindows,"Windows 7, maybe even higher than 7",Two toaster processors or better (2011+),1024 MB RAM,2 GB,,,68%,80,Strong
"The Banner Saga Epic Trilogy₹1,889",The Banner Saga Epic Trilogy,"₹1,889",Stoic,RPGStrategyIndie,Single Player,Stoic,07/21/21,WindowsWindowsMac OSMac OS,Windows 10,1 gigahertz (GHz) or faster 32-bit (x86) or 64-bit (x64) processor,12 GB,22 GB,,,null,null,null
