Treansaction ID,Date,TransactionPrice
7525,01/01/2018,$6.89 
8837,01/01/2018,$6.89 
11999,01/01/2018,$6.89 
7985,01/01/2018,$6.89 
10967,01/01/2018,$6.89 
1379,01/01/2018,$7.54 
2786,01/01/2018,$7.54 
3155,01/01/2018,$7.54 
6931,01/01/2018,$7.54 
7812,01/01/2018,$7.54 
9195,01/01/2018,$7.54 
11081,01/01/2018,$7.54 
11657,01/01/2018,$7.54 
13977,01/01/2018,$7.54 
16125,01/01/2018,$7.54 
5561,01/01/2018,$8.19 
16283,01/01/2018,$8.19 
16309,01/01/2018,$9.44 
8132,01/01/2018,$10.07 
10770,01/01/2018,$11.09 
340,01/01/2018,$11.49 
3266,01/01/2018,$11.49 
675,01/01/2018,$11.92 
2380,01/01/2018,$11.92 
5976,01/01/2018,$11.92 
6890,01/01/2018,$11.92 
11419,01/01/2018,$11.92 
3278,01/01/2018,$11.96 
6474,01/01/2018,$11.96 
8694,01/01/2018,$11.96 
15211,01/01/2018,$12.27 
7410,01/01/2018,$12.29 
14307,01/01/2018,$13.18 
14794,01/01/2018,$13.51 
15960,01/01/2018,$13.51 
3694,01/01/2018,$13.75 
9072,01/01/2018,$14.08 
18016,01/01/2018,$14.08 
546,01/01/2018,$14.08 
10445,01/01/2018,$14.08 
1354,01/01/2018,$14.08 
6569,01/01/2018,$14.08 
8947,01/01/2018,$14.08 
3831,01/01/2018,$14.08 
64,01/01/2018,$14.08 
10855,01/01/2018,$14.08 
14743,01/01/2018,$14.08 
8887,01/01/2018,$14.08 
9392,01/01/2018,$14.08 
17343,01/01/2018,$14.08 
13373,01/01/2018,$14.10 
15576,01/01/2018,$14.13 
15076,01/01/2018,$14.29 
17751,01/01/2018,$14.29 
10688,01/01/2018,$14.29 
11276,01/01/2018,$14.29 
16580,01/01/2018,$14.29 
17413,01/01/2018,$14.29 
310,01/01/2018,$14.31 
11849,01/01/2018,$14.31 
13941,01/01/2018,$14.31 
15700,01/01/2018,$14.31 
16660,01/01/2018,$14.31 
16707,01/01/2018,$14.31 
14117,01/01/2018,$14.31 
4616,01/01/2018,$14.52 
3545,01/01/2018,$14.52 
3668,01/01/2018,$14.52 
4460,01/01/2018,$14.52 
5003,01/01/2018,$14.52 
8533,01/01/2018,$14.52 
10357,01/01/2018,$14.52 
11147,01/01/2018,$14.52 
12307,01/01/2018,$14.52 
1995,01/01/2018,$14.52 
11108,01/01/2018,$14.52 
11960,01/01/2018,$14.52 
12207,01/01/2018,$14.52 
13272,01/01/2018,$14.52 
5742,01/01/2018,$14.58 
14405,01/01/2018,$14.88 
361,01/01/2018,$14.89 
12846,01/01/2018,$14.89 
11428,01/01/2018,$15.08 
27,01/01/2018,$15.08 
286,01/01/2018,$15.08 
985,01/01/2018,$15.08 
9895,01/01/2018,$15.08 
11190,01/01/2018,$15.08 
15905,01/01/2018,$15.08 
16835,01/01/2018,$15.08 
16872,01/01/2018,$15.13 
1950,01/01/2018,$15.25 
75,01/01/2018,$15.25 
6584,01/01/2018,$15.25 
611,01/01/2018,$15.27 
3637,01/01/2018,$15.27 
3727,01/01/2018,$15.27 
16625,01/01/2018,$15.27 
1333,01/01/2018,$15.27 
1506,01/01/2018,$15.27 
11063,01/01/2018,$15.27 
16099,01/01/2018,$15.27 
16370,01/01/2018,$15.27 
16641,01/01/2018,$15.27 
2351,01/01/2018,$15.27 
5430,01/01/2018,$15.27 
6128,01/01/2018,$15.27 
9490,01/01/2018,$15.27 
9779,01/01/2018,$15.27 
9916,01/01/2018,$15.27 
13226,01/01/2018,$15.27 
14153,01/01/2018,$15.27 
16838,01/01/2018,$15.27 
5669,01/01/2018,$15.31 
15981,01/01/2018,$15.31 
12943,01/01/2018,$15.32 
15777,01/01/2018,$15.45 
5927,01/01/2018,$15.84 
12702,01/01/2018,$15.84 
690,01/01/2018,$15.84 
6905,01/01/2018,$16.05 
17735,01/01/2018,$16.08 
1994,01/01/2018,$16.11 
5181,01/01/2018,$16.11 
5347,01/01/2018,$16.11 
7623,01/01/2018,$16.11 
9156,01/01/2018,$16.11 
